"id","image_id","name","username","userlevel","comment","datdeb","datfin","name_fr","type","value"
225262,51994,"vlcsnap-2023-04-21-10h15m37s208.jpg","juliabraga",0,"","2024-04-29 07:51:33","2024-04-29 07:52:12","Amphipode","rectangle","{""pos1X"":2656,""pos1Y"":237,""pos2X"":2851,""pos2Y"":413}"
225262,51994,"vlcsnap-2023-04-21-10h15m37s208.jpg","juliabraga",0,"","2024-04-29 07:51:33","2024-04-29 07:52:12","Posidonie","rectangle","{""pos1X"":947,""pos1Y"":390,""pos2X"":1309,""pos2Y"":636}"
225263,51988,"vlcsnap-2023-04-20-09h05m31s365.jpg","juliabraga",0,"","2024-04-29 07:51:54","2024-04-29 07:52:14","Concombre de mer","rectangle","{""pos1X"":2168,""pos1Y"":1175,""pos2X"":2391,""pos2Y"":1318}"
225263,51988,"vlcsnap-2023-04-20-09h05m31s365.jpg","juliabraga",0,"","2024-04-29 07:51:54","2024-04-29 07:52:14","Posidonie","rectangle","{""pos1X"":1978,""pos1Y"":1472,""pos2X"":2400,""pos2Y"":1662}"
225264,52033,"vlcsnap-2023-05-12-22h26m35s675.jpg","juliabraga",0,"","2024-04-29 07:53:17","2024-04-29 07:54:40","Amphipode","rectangle","{""pos1X"":2496,""pos1Y"":1577,""pos2X"":2563,""pos2Y"":1637}"
225264,52033,"vlcsnap-2023-05-12-22h26m35s675.jpg","juliabraga",0,"","2024-04-29 07:53:17","2024-04-29 07:54:40","Concombre de mer","rectangle","{""pos1X"":907,""pos1Y"":881,""pos2X"":966,""pos2Y"":930}"
225264,52033,"vlcsnap-2023-05-12-22h26m35s675.jpg","juliabraga",0,"","2024-04-29 07:53:17","2024-04-29 07:54:40","Crinoide","rectangle","{""pos1X"":2199,""pos1Y"":1646,""pos2X"":2540,""pos2Y"":1902}"
225264,52033,"vlcsnap-2023-05-12-22h26m35s675.jpg","juliabraga",0,"","2024-04-29 07:53:17","2024-04-29 07:54:40","Posidonie","rectangle","{""pos1X"":3074,""pos1Y"":1567,""pos2X"":3462,""pos2Y"":1864}"
225265,52106,"vlcsnap-2023-11-09-16h12m10s638.jpg","juliabraga",0,"","2024-04-29 07:53:55","2024-04-29 07:54:33","Crinoide","rectangle","{""pos1X"":1017,""pos1Y"":924,""pos2X"":1383,""pos2Y"":1161}"
225265,52106,"vlcsnap-2023-11-09-16h12m10s638.jpg","juliabraga",0,"","2024-04-29 07:53:55","2024-04-29 07:54:33","Posidonie","rectangle","{""pos1X"":2823,""pos1Y"":283,""pos2X"":3282,""pos2Y"":418}"
225266,52042,"vlcsnap-2023-05-13-22h54m10s613.jpg","juliabraga",0,"","2024-04-29 07:56:34","2024-04-29 07:59:13","Concombre de mer","rectangle","{""pos1X"":1917,""pos1Y"":1137,""pos2X"":2275,""pos2Y"":1467}"
225266,52042,"vlcsnap-2023-05-13-22h54m10s613.jpg","juliabraga",0,"","2024-04-29 07:56:34","2024-04-29 07:59:13","Posidonie","rectangle","{""pos1X"":984,""pos1Y"":1063,""pos2X"":1806,""pos2Y"":1472}"
225267,52100,"vlcsnap-2023-11-08-16h12m55s608.jpg","juliabraga",0,"","2024-04-29 07:56:55","2024-04-29 07:57:15","Posidonie","rectangle","{""pos1X"":65,""pos1Y"":2015,""pos2X"":316,""pos2Y"":2140}"
225268,52077,"vlcsnap-2023-05-24-13h58m58s546.jpg","juliabraga",0,"","2024-04-29 07:57:44","2024-04-29 07:58:33","Concombre de mer","rectangle","{""pos1X"":1277,""pos1Y"":1137,""pos2X"":1616,""pos2Y"":1295}"
225268,52077,"vlcsnap-2023-05-24-13h58m58s546.jpg","juliabraga",0,"","2024-04-29 07:57:44","2024-04-29 07:58:33","Crinoide","rectangle","{""pos1X"":3422,""pos1Y"":1476,""pos2X"":3835,""pos2Y"":1778}"
225269,51947,"XNP-6040H 20230422 011753.jpg","juliabraga",0,"","2024-04-29 07:58:56","2024-04-29 08:00:08","Amphipode","rectangle","{""pos1X"":1173,""pos1Y"":1000,""pos2X"":1289,""pos2Y"":1075}"
225269,51947,"XNP-6040H 20230422 011753.jpg","juliabraga",0,"","2024-04-29 07:58:56","2024-04-29 08:00:08","Amphipode","rectangle","{""pos1X"":797,""pos1Y"":805,""pos2X"":830,""pos2Y"":770}"
225269,51947,"XNP-6040H 20230422 011753.jpg","juliabraga",0,"","2024-04-29 07:58:56","2024-04-29 08:00:08","Posidonie","rectangle","{""pos1X"":1100,""pos1Y"":401,""pos2X"":1256,""pos2Y"":436}"
225269,51947,"XNP-6040H 20230422 011753.jpg","juliabraga",0,"","2024-04-29 07:58:56","2024-04-29 08:00:08","Posidonie","rectangle","{""pos1X"":483,""pos1Y"":335,""pos2X"":541,""pos2Y"":299}"
225270,51985,"vlcsnap-2023-04-19-16h27m58s666.jpg","juliabraga",0,"","2024-04-29 07:59:47","2024-04-29 08:00:37","Poisson 3","rectangle","{""pos1X"":3196,""pos1Y"":1282,""pos2X"":3839,""pos2Y"":1856}"
225270,51985,"vlcsnap-2023-04-19-16h27m58s666.jpg","juliabraga",0,"","2024-04-29 07:59:47","2024-04-29 08:00:37","Posidonie","rectangle","{""pos1X"":2725,""pos1Y"":1746,""pos2X"":3156,""pos2Y"":1835}"
225271,52014,"vlcsnap-2023-05-04-23h23m46s372.jpg","juliabraga",0,"","2024-04-29 08:00:49","2024-04-29 08:01:51","Concombre de mer","rectangle","{""pos1X"":893,""pos1Y"":530,""pos2X"":926,""pos2Y"":560}"
225271,52014,"vlcsnap-2023-05-04-23h23m46s372.jpg","juliabraga",0,"","2024-04-29 08:00:49","2024-04-29 08:01:51","Crinoide","rectangle","{""pos1X"":2450,""pos1Y"":1686,""pos2X"":2756,""pos2Y"":1876}"
225271,52014,"vlcsnap-2023-05-04-23h23m46s372.jpg","juliabraga",0,"","2024-04-29 08:00:49","2024-04-29 08:01:51","Posidonie","rectangle","{""pos1X"":510,""pos1Y"":1085,""pos2X"":800,""pos2Y"":1152}"
225272,52090,"vlcsnap-2023-11-02-11h34m05s814.jpg","juliabraga",0,"","2024-04-29 08:01:23","2024-04-29 08:01:57","Crinoide","rectangle","{""pos1X"":709,""pos1Y"":464,""pos2X"":1052,""pos2Y"":647}"
225272,52090,"vlcsnap-2023-11-02-11h34m05s814.jpg","juliabraga",0,"","2024-04-29 08:01:23","2024-04-29 08:01:57","Posidonie","rectangle","{""pos1X"":2656,""pos1Y"":483,""pos2X"":2946,""pos2Y"":613}"
225273,52017,"vlcsnap-2023-05-09-11h58m15s310.jpg","juliabraga",0,"","2024-04-29 08:02:06","2024-04-29 08:02:49","Crinoide","rectangle","{""pos1X"":3083,""pos1Y"":1251,""pos2X"":3405,""pos2Y"":1428}"
225273,52017,"vlcsnap-2023-05-09-11h58m15s310.jpg","juliabraga",0,"","2024-04-29 08:02:06","2024-04-29 08:02:49","Posidonie","rectangle","{""pos1X"":103,""pos1Y"":1707,""pos2X"":551,""pos2Y"":1859}"
225273,52017,"vlcsnap-2023-05-09-11h58m15s310.jpg","juliabraga",0,"","2024-04-29 08:02:06","2024-04-29 08:02:49","Posidonie","rectangle","{""pos1X"":2301,""pos1Y"":588,""pos2X"":2577,""pos2Y"":662}"
225273,52017,"vlcsnap-2023-05-09-11h58m15s310.jpg","juliabraga",0,"","2024-04-29 08:02:06","2024-04-29 08:02:49","Posidonie","rectangle","{""pos1X"":644,""pos1Y"":567,""pos2X"":819,""pos2Y"":646}"
225274,52107,"vlcsnap-2023-11-09-16h12m12s100.jpg","juliabraga",0,"","2024-04-29 08:02:39","2024-04-29 08:03:11","Crinoide","rectangle","{""pos1X"":998,""pos1Y"":896,""pos2X"":1425,""pos2Y"":1253}"
225274,52107,"vlcsnap-2023-11-09-16h12m12s100.jpg","juliabraga",0,"","2024-04-29 08:02:39","2024-04-29 08:03:11","Posidonie","rectangle","{""pos1X"":2823,""pos1Y"":288,""pos2X"":3338,""pos2Y"":422}"
